case_name,trial_idx,mode,hr_range_rest_bpm,slew_limit_rest_bpm,slew_step_rest_bpm,smooth_win_len,time_bias_s,objective,rest_all_mae,pre_rest_mae,post_rest_mae,pure_fft_rest_all_mae,pure_fft_pre_rest_mae,pure_fft_post_rest_mae,n_rest_all,n_pre_rest,n_post_rest,passed
multi_tiaosheng3,14,all_peaks_near_prev,20.0,2.0,8.0,11,-1.5,5.410038935673702,3.713561538578004,1.2014700082632215,5.410038935673702,3.726108284883721,1.2801325871394234,5.377936028814935,129,52,77,False
multi_tiaosheng3,15,fallback_slew_to_raw_peak,40.0,12.0,15.0,7,-1.5,5.10147372159091,3.786755465721899,1.8399611253004813,5.10147372159091,3.8994859798934107,1.8399611253004813,5.290333933644481,129,52,77,False
multi_tiaosheng3,16,all_peaks_with_raw_fallback,25.0,20.0,3.0,13,-1.5,4.364215008624189,3.318427507267442,1.769857553335337,4.364215008624189,3.3162983739098837,1.768977238581731,4.361242517248377,129,52,77,False
multi_tiaosheng3,17,raw_peak,15.0,6.0,1.5,3,-1.5,4.582056615259741,3.776568745457849,2.5838270920973563,4.582056615259741,3.7747944676598837,2.586468036358174,4.577300629058442,129,52,77,False
multi_tiaosheng3,18,all_peaks_near_prev,90.0,2.0,5.0,7,-1.5,6.160723797686691,4.407620215600777,1.8116783728966352,6.160723797686691,4.444004738977715,1.8116783728966352,6.221679687500003,129,52,77,False
multi_tiaosheng3,19,post_motion_slew,30.0,4.0,10.0,9,-0.5,4.3790203936688314,3.373531371124031,1.884634164663462,4.3790203936688314,3.373531371124031,1.884634164663462,4.3790203936688314,129,52,77,False
multi_tiaosheng3,20,raw_peak,60.0,8.0,3.0,13,-1.5,4.195377498478085,3.217648528343023,1.769857553335337,4.195377498478085,3.2155193949854652,1.768977238581731,4.192405007102273,129,52,77,False
multi_tiaosheng3,21,post_motion_slew,30.0,1.5,1.0,5,20.0,18.549512987012985,13.893145893895348,6.998140775240385,18.549512987012985,13.893145893895348,6.998140775240385,18.549512987012985,129,52,77,False
multi_tiaosheng3,22,all_peaks_with_raw_fallback,25.0,30.0,10.0,9,-1.5,4.180643453226462,3.1835161549176356,1.7070007324218752,4.180643453226462,3.174289910368217,1.7061204176682696,4.1657809963474035,129,52,77,False
multi_tiaosheng3,23,all_peaks_with_raw_fallback,25.0,20.0,10.0,11,-1.5,4.217968432934254,3.214099972747093,1.7276024451622598,4.217968432934254,3.224035928415698,1.730243389423077,4.232830889813313,129,52,77,False
multi_tiaosheng3,24,all_peaks_near_prev,15.0,25.0,6.0,9,-1.5,4.180643453226462,3.2488512142684107,1.8690819373497598,4.180643453226462,3.2410443919573644,1.871722881610577,4.1657809963474035,129,52,77,False
multi_tiaosheng3,25,post_motion_slew,50.0,15.0,12.0,7,20.0,23.04878690645292,16.50015519016473,6.803142841045674,23.04878690645292,16.50015519016473,6.803142841045674,23.04878690645292,129,52,77,False
multi_tiaosheng3,26,all_peaks_with_raw_fallback,15.0,25.0,6.0,5,-1.5,4.460775796469156,3.491515640140504,2.056265024038462,4.460775796469156,3.487967084544574,2.056265024038462,4.454830813717534,129,52,77,False
multi_tiaosheng3,27,fallback_slew_to_raw_peak,30.0,5.0,12.0,11,-1.5,4.258121639103085,3.2778112130571704,1.826197697566106,4.258121639103085,3.286327746487403,1.8253173828125002,4.272984095982143,129,52,77,False
multi_tiaosheng3,28,all_peaks_near_prev,25.0,12.0,4.0,13,-1.5,4.364215008624189,3.318427507267442,1.769857553335337,4.364215008624189,3.3162983739098837,1.768977238581731,4.361242517248377,129,52,77,False
multi_tiaosheng3,29,post_motion_slew,50.0,25.0,8.0,9,20.0,26.259429535308442,18.441315406976745,6.864492563100963,26.259429535308442,18.441315406976745,6.864492563100963,26.259429535308442,129,52,77,False
multi_tiaosheng3,30,current,40.0,8.0,15.0,15,20.0,25.70698844612419,18.087078715479652,6.803750845102164,25.70698844612419,18.089917559956394,6.80463115985577,25.711149934050326,129,52,77,False
multi_tiaosheng3,31,post_motion_slew,20.0,1.5,2.5,5,20.0,23.593432934253247,17.003607225048448,7.245596078725963,23.593432934253247,17.003607225048448,7.245596078725963,23.593432934253247,129,52,77,False
multi_tiaosheng3,32,all_peaks_with_raw_fallback,25.0,30.0,12.0,9,-1.5,4.180643453226462,3.1835161549176356,1.7070007324218752,4.180643453226462,3.174289910368217,1.7061204176682696,4.1657809963474035,129,52,77,False
multi_tiaosheng3,33,all_peaks_with_raw_fallback,25.0,30.0,10.0,7,-1.5,4.448762175324676,3.397152449733527,1.8399611253004813,4.448762175324676,3.38224851623062,1.8399611253004813,4.423793247767858,129,52,77,False
multi_tiaosheng3,34,all_peaks_with_raw_fallback,10.0,20.0,6.0,9,-1.5,4.180643453226462,3.2488512142684107,1.8690819373497598,4.180643453226462,3.2410443919573644,1.871722881610577,4.1657809963474035,129,52,77,False
multi_tiaosheng3,35,all_peaks_near_prev,30.0,15.0,10.0,11,-1.5,4.244887314833604,3.2301678324854652,1.7276024451622598,4.244887314833604,3.24010378815407,1.730243389423077,4.259749771712662,129,52,77,False
multi_tiaosheng3,36,post_recovery_blend,15.0,25.0,12.0,13,-2.5,3.3219574259002758,2.7295050502466762,1.8522198016826925,3.3219574259002758,2.7295050502466762,1.8522198016826925,3.3219574259002758,129,52,77,False
multi_tiaosheng3,37,post_recovery_blend,10.0,25.0,15.0,13,20.0,34.477995637175326,23.369681898013567,6.920832707331732,34.477995637175326,23.369681898013567,6.920832707331732,34.477995637175326,129,52,77,False
