record_id,scene,lane,spectral_gate_pass,valid_window_count,invalid_window_count,prominence_db_delta_median,visible_top3_rate_delta,hr_band_share_delta_median,pulse_power_retention_median,residual_artifact_corr_delta_median,complete_window_evidence_pass,hr_band_share_delta_pass,prominence_db_delta_pass,pulse_power_retention_pass,residual_artifact_corr_delta_pass,visible_top3_rate_delta_pass,identity_sha256,result_sha256
run2_LYX_0708,run,rank2_only_adaptive,True,228,0,0.09013660217385655,-0.0043859649122807015,0.007209971854382394,1.02206246789147,-0.008785021539560123,True,True,True,True,True,True,ec4f3882a486194f7a99db60d2a5d2480d23b2bdd451e1e015a31c1725865511,5d2beff97b6c214bc9fd11ad3e4031f42b6e79717f726515073adb0d823add4e
run2_LYX_0708,run,ranked_cascade_adaptive,True,228,0,0.1368233967362955,0.0,0.008558884204525424,1.0299387967520661,-0.022603587046749585,True,True,True,True,True,True,ec4f3882a486194f7a99db60d2a5d2480d23b2bdd451e1e015a31c1725865511,5d2beff97b6c214bc9fd11ad3e4031f42b6e79717f726515073adb0d823add4e
run2_LYX_0708,run,reverse_cascade_adaptive,True,228,0,0.31390192956147017,0.0,0.013328635828346869,1.0363574122953243,-0.024154069215251622,True,True,True,True,True,True,ec4f3882a486194f7a99db60d2a5d2480d23b2bdd451e1e015a31c1725865511,5d2beff97b6c214bc9fd11ad3e4031f42b6e79717f726515073adb0d823add4e
run3_LYX_0708,run,raw_bypass,True,316,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,b83dc59f7a9fd23d9a7c4e55d0d616f42586e2953dcd4a7e83e0dfa29ebe4ac0,ebaacdc9994ce9468df5b6dbbd941f199ed6b98e27da4539502d883a70a749aa
run3_LYX_0708,run,two_stage_zero_update,True,316,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,b83dc59f7a9fd23d9a7c4e55d0d616f42586e2953dcd4a7e83e0dfa29ebe4ac0,ebaacdc9994ce9468df5b6dbbd941f199ed6b98e27da4539502d883a70a749aa
run3_LYX_0708,run,rank1_only_adaptive,True,316,0,-0.006511041374765547,-0.0031645569620253164,-0.0021023585663845767,1.001785083820184,-0.0180973739017986,True,True,True,True,True,True,b83dc59f7a9fd23d9a7c4e55d0d616f42586e2953dcd4a7e83e0dfa29ebe4ac0,ebaacdc9994ce9468df5b6dbbd941f199ed6b98e27da4539502d883a70a749aa
run3_LYX_0708,run,rank2_only_adaptive,True,316,0,-0.030447315954102536,0.006329113924050633,-0.000732391466558513,1.0027451834935213,-0.003863724341741488,True,True,True,True,True,True,b83dc59f7a9fd23d9a7c4e55d0d616f42586e2953dcd4a7e83e0dfa29ebe4ac0,ebaacdc9994ce9468df5b6dbbd941f199ed6b98e27da4539502d883a70a749aa
run3_LYX_0708,run,ranked_cascade_adaptive,True,316,0,-0.05486802060222873,-0.006329113924050633,-0.004990505111883703,0.999813402240818,-0.016077981698610855,True,True,True,True,True,True,b83dc59f7a9fd23d9a7c4e55d0d616f42586e2953dcd4a7e83e0dfa29ebe4ac0,ebaacdc9994ce9468df5b6dbbd941f199ed6b98e27da4539502d883a70a749aa
run3_LYX_0708,run,reverse_cascade_adaptive,True,316,0,-0.006643044763299216,-0.0031645569620253164,-0.004839326311044279,1.001574775626167,-0.01797076723322205,True,True,True,True,True,True,b83dc59f7a9fd23d9a7c4e55d0d616f42586e2953dcd4a7e83e0dfa29ebe4ac0,ebaacdc9994ce9468df5b6dbbd941f199ed6b98e27da4539502d883a70a749aa
xiezi2_LYX_0708,xiezi,raw_bypass,True,164,0,0.0,0.0,0.0,1.0,0.0,True,True,True,True,True,True,439c2edd7c4c73c10b3185e1070667dbd2272235afc33d93bf67117b44809343,a9da19f9317b639fa089a78a1b1e97f00b283d91ae40fa41d6975fc343e2f9dd
